Jahr Monat Tag RSK SDK TMK TXK TNK
2020 07 08    0     11  14.5   17  12.3
2020 07 09  5.6  3.133  13.6 16.9  12.1
2020 07 10 12.5    1.5  12.9 14.2  11.4
2020 07 11  0.4 12.033  14.7 17.5  12.3
2020 07 12    0  8.183  14.9 17.1  12.9
2020 07 13    0 11.733  15.3 17.8  12.5
2020 07 14  4.8  9.317  16.7 20.5    12
2020 07 15  5.4   0.55  14.9 16.4  13.4
2020 07 16    0     12  16.4 18.7    14
2020 07 17    0  12.55  17.6 20.2  15.7
2020 07 18    0 15.167  18.7   21  16.2
2020 07 19    0 10.917  19.9 22.5  16.7
2020 07 20  0.2  8.017  17.8 19.6  15.8
2020 07 21    0     11  15.9 18.7  14.1
2020 07 22    0 15.117  15.8 18.2  13.3
2020 07 23  1.1 12.983  16.2 19.6  14.1
2020 07 24  0.6  5.517  17.1 20.7  14.6
2020 07 25    0  10.75  17.7   21    15
2020 07 26  5.2  4.567  18.4   24  14.8
2020 07 27 12.3  7.683  17.4 20.8  13.3
2020 07 28  1.3  7.217  18.6   22  15.1
2020 07 29  0.6  4.767  15.5 18.6  13.3
2020 07 30    0  5.217  16.1 18.7  14.1
2020 07 31    0  7.733  15.6 18.1  13.9
2020 08 01 11.4 13.733  17.7 20.6  14.3
2020 08 02  0.9  1.367  17.7 20.1  15.7
2020 08 03    0   11.9  16.9 19.8  14.6
2020 08 04    0 13.667  16.8 19.4  13.6
2020 08 05    0   10.2  19.8   26  12.9
2020 08 06    0  14.85  20.7 24.5  17.8
2020 08 07    0  14.25  20.7 23.1    19
2020 08 08    0 12.633  21.7 25.2    19
2020 08 09    0   10.9  21.7 23.8  19.8
2020 08 10    0 13.567    21 24.1  18.7
2020 08 11    0 13.967  19.3 21.3  17.8
2020 08 12    0 14.233  18.9 20.8  17.3
2020 08 13    0  14.45  18.9   21  17.2
2020 08 14    0 13.233  20.3 22.9  17.5
2020 08 15    0 13.683  21.4 24.1  19.5
2020 08 16    0   13.7  22.1 25.9  19.1
2020 08 17    0  13.95  22.1 24.9  19.7
2020 08 18    0  9.883  20.9 24.8  18.5
2020 08 19 29.9  5.267  19.7 22.3    16
2020 08 20  1.9   0.45  20.7 23.4  18.8
2020 08 21 23.5      2  21.3 26.2  18.7
2020 08 22    0  4.133  20.8 23.8  17.1
2020 08 23    0  9.417  18.1 21.5  16.1
2020 08 24 15.4  2.133    16 18.5  14.1
2020 08 25  2.9  7.367    16 18.5  13.3
2020 08 26   19    0.6  16.7 18.2  15.4
2020 08 27 28.8  1.867  16.2 18.7  12.7
2020 08 28  0.8    0.6  15.6 18.4  13.6
2020 08 29    0 12.317  16.9 19.8  13.9
2020 08 30    0 10.567  17.1 20.3  13.2
2020 08 31    0 12.333    17 19.1  14.8
2020 09 01  4.3  9.883  16.4 18.1  13.9
2020 09 02  6.2  1.717  16.3 18.4  14.4
2020 09 03  0.8  7.733    17 19.9  14.3
2020 09 04    0    7.2  17.1 19.8  14.5
2020 09 05  2.3    5.2  15.7 17.9  12.8
2020 09 06  1.6      4    14 16.9  11.8
2020 09 07    0 10.367  14.6 17.2  12.7
2020 09 08    0   2.15  16.2 19.3  13.7
2020 09 09  1.5  1.717  17.2 21.7  14.7
2020 09 10    0    9.5  14.3 16.5  10.7
2020 09 11    0  5.317  14.7 18.3    11
2020 09 12  0.1  9.067  15.7 19.8  11.9
2020 09 13    0   3.75  16.3 21.4  12.9
2020 09 14    0 11.583  18.5 23.7    15
2020 09 15    0 10.017    20 24.6  17.1
2020 09 16    0 10.967  17.9 21.4  13.7
2020 09 17    0   11.9  13.4 15.2  11.5
2020 09 18    0 12.167  13.5 16.2    11
2020 09 19    0    9.8  13.7 16.9   9.2
2020 09 20    0   11.2  15.4 18.2  12.7
2020 09 21    0 11.317    16   20  13.2
2020 09 22    0   11.2  16.9 20.7  11.8
2020 09 23    0 10.417  17.6 22.4  12.9
2020 09 24    0  5.033  16.6 19.3  13.4
2020 09 25 12.4   0.15  14.9 16.9  12.3
2020 09 26 11.5  2.917  14.7 17.3  12.1
2020 09 27  0.8  0.883    14 17.9  11.4
2020 09 28    0  5.667  13.3 15.9  11.1
2020 09 29    0  8.267    15 17.7  12.8
2020 09 30    0  9.283  15.3 17.8  12.8
2020 10 01    0  0.117  15.2 16.4  13.6
2020 10 02    0  3.917  15.3 16.8  14.4
2020 10 03  4.4  5.117  15.4 16.5  14.5
2020 10 04  0.7  1.017  14.2 16.1    11
2020 10 05    0  6.817  14.3 16.7  11.4
2020 10 06  0.5  4.183  12.1 14.4   9.4
2020 10 07    0    1.9    12 14.8  10.5
2020 10 08  4.6   0.55  11.8 13.9  10.6
2020 10 09    0  6.933    13 15.1  11.1
2020 10 10    0  2.833    10 12.5   7.2
2020 10 11    0  6.117   8.5 12.4   5.8
2020 10 12  0.8  4.767   9.3 12.7   6.5
2020 10 13  0.6  4.017  10.8 13.8   7.2
2020 10 14  5.8      0  10.9 11.9   9.3
2020 10 15    0  0.017    10   11   9.1
2020 10 16  2.5   5.35  10.5 12.1   9.3
2020 10 17  0.4  1.483   9.9 11.7   8.6
2020 10 18    0  6.033  10.1 11.3   8.9
2020 10 19    0  6.267   9.3 11.5   8.1
2020 10 20  0.2      0   9.4   11   7.4
2020 10 21    1      0  11.8 14.5   9.8
2020 10 22    0  5.467  14.4 16.7  12.5
2020 10 23    0  3.633  11.4 13.3   8.8
2020 10 24    0    1.8  11.6 13.5   9.4
2020 10 25  0.1  1.383  12.9   14  11.8
2020 10 26  4.1      0  10.9 11.9   8.7
2020 10 27    0  2.033   9.4 11.6   8.1
2020 10 28  1.6   3.25  10.1   13   8.1
2020 10 29  1.7  0.217   9.9 10.9   8.8
2020 10 30 10.1      0   9.1 10.6   7.1
2020 10 31  1.2    2.1  12.1 14.4  10.5
2020 11 01    1   1.95  12.3 13.8  11.1
2020 11 02  1.2    1.5  15.5 17.9  11.9
2020 11 03    0  4.683  10.2   12   7.8
2020 11 04    0  2.967   8.9 11.1   6.1
2020 11 05    0  0.517  10.3 11.4   9.2
2020 11 06  0.3      0  11.1 11.5  10.1
2020 11 07    0  2.117   8.7 10.5   5.9
2020 11 08    0  1.383   9.3 10.9   7.6
2020 11 09    0      0   7.9    9   6.9
2020 11 10    0      0   6.7  7.9   5.2
2020 11 11    0      0   5.3  5.7   4.8
2020 11 12    1      0   6.9  8.9   5.2
2020 11 13  0.5  1.183     8 10.3   5.6
2020 11 14  0.1      0   9.4 10.7   7.3
2020 11 15  0.1  3.633  10.6 11.6   9.3
2020 11 16  0.2  2.933   9.6 11.1   8.4
2020 11 17  1.4      0   9.7 11.6   7.4
2020 11 18    0      0  10.6 11.6     9
2020 11 19    1  2.083   8.7 11.3   5.6
2020 11 20  0.2  5.733   6.3  7.8   3.5
2020 11 21  2.9      0   4.9  7.9   3.2
2020 11 22  7.5    1.5   8.6  9.8   6.4
2020 11 23    0  5.133   8.1  8.8     6
2020 11 24    0    0.2     6  7.1   4.1
2020 11 25    0  1.467   3.4  6.4   1.1
2020 11 26  0.9   0.25   6.2  8.8   2.9
2020 11 27    0  5.433   6.5  8.9   3.3
2020 11 28  1.8  2.967   5.5  6.8   3.7
2020 11 29  2.9      0   3.8  5.4   2.2
2020 11 30  0.2  0.317     2  3.1   0.9
2020 12 01    0   0.05   3.5  4.5   2.3
2020 12 02    0  0.467   3.5  4.8   1.2
2020 12 03    0      0   0.2  1.4  -0.9
2020 12 04    0      0   2.7  5.1   0.6
2020 12 05    0  1.883     5  6.8   2.9
2020 12 06    0   1.25   7.3  8.5   5.1
2020 12 07  0.6  0.467   5.9  7.5   5.3
2020 12 08    0      0     4  5.6   2.1
2020 12 09    0      0   2.8  3.6   1.2
2020 12 10    0      0     1  1.6  -0.1
2020 12 11    0      0   0.5  2.2  -0.6
2020 12 12    0   0.05   3.3  3.9   1.4
2020 12 13    0      0   2.3  4.2  -0.7
2020 12 14  1.4      0   3.6  5.8   0.2
2020 12 15  2.4  0.467   5.4    7   4.8
2020 12 16    0    2.2   6.7  8.7   5.1
2020 12 17  0.7      0   6.2  7.3   5.4
2020 12 18    0  3.833   6.3    8   4.3
2020 12 19    0  4.617   3.7  4.8   1.8
2020 12 20  9.2    0.1   3.9  4.6   3.5
2020 12 21  0.7  0.167   4.8    6   3.7
2020 12 22  8.1      0   6.1  9.1   4.3
2020 12 23 10.1      0   4.4  6.3   2.6
2020 12 24  4.9      0   3.9  5.2   2.3
2020 12 25    0    3.7     3  3.9   1.8
2020 12 26    0  0.183   2.4  3.5     1
2020 12 27    0  0.133   2.5    3   1.8
2020 12 28    0      0   3.1  3.6   2.3
2020 12 29    0      0   2.5  3.8   1.3
2020 12 30    0    1.8   3.2  4.1   2.5
2020 12 31    0  1.483     3  4.2   1.8
